,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Kopfhörerversuch Sounds,,,,,,,,,,,,,,,,,,,,,,,,
Kodierung:,unangenehm = 0 --> angenehm = 100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Proband_ID,S 1,S 2,S 3,S 4,S 5,S 6,S 7,S 8,S 9,S 10,S 11,S 12,S 13,S 14,S 15,S 16,S 17,S 18,S 19,S 20,S 21,S 22,S 23,S 24,
MW,32.6538461538462,36.5,46.8653846153846,72.8653846153846,41.9615384615385,69.6923076923077,66.0961538461538,67.7884615384615,50.5769230769231,41,45.8269230769231,39.1730769230769,46.2307692307692,44.5384615384615,51.5,39.9423076923077,41.3076923076923,43.1923076923077,39.1923076923077,47.9423076923077,45.5576923076923,45.2692307692308,43.8269230769231,45.7115384615385,durch SV ergänzt
SD,18.3,19.7,21.5,22.9,20.7,24.7,22.5,22.8,21.4,17.7,17.5,18.4,20.3,19.3,18.8,20.8,20.7,20.4,19.7,21.4,17.4,19.5,21.1,18.8,
SE,2.5,2.7,3.0,3.2,2.9,3.4,3.1,3.2,3.0,2.5,2.4,2.5,2.8,2.7,2.6,2.9,2.9,2.8,2.7,3.0,2.4,2.7,2.9,2.6,
CI95,5.0438099445436,5.42663775950103,5.92394460975493,6.31983565196507,5.71101204288619,6.80685196466649,6.21549076382591,6.29509560354294,5.91218706155741,4.87401929054036,4.81300145278002,5.06057821458632,5.61006959114694,5.32346959615638,5.19452221807534,5.72754856104702,5.71272831086373,5.63404272259985,5.43419646022292,5.90943016232215,4.78370631747647,5.36687450341028,5.81927881531453,5.19677036844813,
HVS00,44,34,33,76,14,90,85,92,32,35,68,36,35,36,52,22,26,23,19,60,40,24,37,31,Testphase Hörversuch
HVS01,47,40,10,61,26,63,46,62,27,18,36,22,49,49,46,17,2,21,9,28,40,32,20,56,
HVS02,48,31,25,68,24,85,35,46,28,17,36,17,40,36,49,15,19,29,25,31,27,28,21,46,
HVS03,35,21,60,51,29,54,54,61,62,50,56,30,58,69,58,51,58,41,36,44,61,60,71,55,
HVS04,63,61,32,41,28,93,78,85,69,28,37,62,31,36,35,17,30,42,16,67,44,71,43,29,
HVS05,16,27,43,50,29,90,61,76,52,51,49,62,51,47,56,45,50,48,39,60,47,31,48,50,Start Hörversuch
HVS06,49,49,33,22,14,58,49,74,27,30,41,26,54,45,49,47,33,27,41,73,54,59,37,52,
HVS07,0,0,71,87,95,100,100,92,0,57,10,41,19,22,4,61,21,22,25,25,28,21,36,9,
HVS08,74,90,70,93,68,97,92,100,67,62,68,66,71,80,81,62,85,81,61,94,86,86,80,75,
HVS09,24,43,64,92,41,86,92,93,83,57,52,41,69,63,76,31,48,67,49,50,72,77,54,70,
HVS10,51,86,52,100,38,36,58,43,50,43,51,39,51,98,80,51,55,64,51,57,51,55,51,64,
HVS11,41,45,33,43,28,41,46,54,40,31,44,42,62,62,63,36,31,42,44,60,45,39,38,39,
HVS12,30,32,42,59,41,68,57,78,51,40,69,42,81,54,73,41,42,52,47,71,54,77,34,64,
HVS13,10,21,47,89,35,11,44,16,62,63,13,36,9,12,11,17,19,9,27,9,16,12,15,17,
HVS14,10,6,71,96,58,86,83,60,51,28,20,38,31,16,42,14,21,10,36,13,42,29,13,16,
HVS15,9,8,87,100,64,100,100,100,95,76,58,68,56,42,56,84,40,56,91,37,46,52,56,42,
HVS16,19,16,54,91,59,65,84,80,61,43,39,48,48,48,47,41,41,37,44,45,43,48,46,40,
HVS17,62,30,21,64,39,39,61,59,34,40,37,42,36,40,41,29,37,45,40,39,61,46,40,58,
HVS18,43,46,44,64,38,83,57,69,38,32,59,24,49,43,47,41,31,47,37,48,48,52,34,46,
HVS19,51,53,40,50,27,47,32,45,42,38,42,24,49,38,56,18,30,37,26,48,27,37,38,50,
HVS20,42,46,25,91,41,58,81,66,32,74,24,33,44,49,57,53,33,55,32,59,57,54,37,69,
HVS21,39,30,73,83,55,71,56,47,45,44,47,29,36,53,54,55,68,61,56,69,57,61,74,46,
HVS22,47,47,60,73,58,78,87,82,67,58,44,40,30,26,37,40,20,38,38,44,41,40,25,39,
HVS23,46,43,41,54,39,84,60,63,58,42,42,40,75,83,62,25,36,41,34,56,65,62,32,58,
HVS24,41,48,26,62,51,73,74,50,65,24,79,37,34,50,70,46,35,61,27,67,66,46,25,63,
HVS25,29,30,26,33,26,31,33,31,23,20,27,23,27,19,28,23,22,25,20,21,22,28,19,30,
HVS26,27,34,62,75,40,73,86,71,54,62,62,53,61,42,53,62,59,63,46,62,73,56,62,61,
HVS27,13,36,35,88,73,99,95,100,74,76,57,62,43,63,46,90,33,30,45,19,71,56,68,42,
HVS28,57,51,66,90,76,99,88,97,71,49,59,76,56,71,62,53,73,72,75,56,57,62,64,63,
